enhancer	S1_r1	S1_r2	S2_r1	S2_r2
chr21_5128185_5128529	12	2	21	5
chr21_5240507_5241144	29	20	15	1
chr21_5241953_5242568	33	29	11	2
chr21_5242733_5243984	160	68	12	7
chr21_5244027_5244554	52	29	13	4
chr21_5244634_5245418	59	19	13	1
chr21_5246067_5246864	59	18	5	4
chr21_6109723_6110258	0	0	74	4
chr21_6111347_6111705	0	0	31	2
chr21_6125424_6125791	1	0	35	7
chr21_6368812_6369148	26	14	90	16
chr21_8758574_8759005	18	5	2	1
chr21_8759056_8759835	78	19	22	0
chr21_8773238_8773549	19	7	3	1
chr21_9766842_9768489	217	43	30	10
chr21_9823409_9823767	21	6	9	3
chr21_9835889_9836095	7	3	0	0
chr21_9836676_9837290	34	6	3	1
chr21_9837370_9838012	20	5	5	0
chr21_9838760_9839095	14	4	8	2
chr21_9839154_9839319	7	2	7	0
chr21_10119622_10119934	10	3	1	0
chr21_10412818_10413318	18	8	77	30
chr21_10413364_10414687	255	80	338	52
chr21_13857982_13858350	0	0	36	8
chr21_13876254_13877026	3	1	96	9
chr21_13877258_13877766	3	1	49	5
chr21_13970153_13970611	4	0	40	15
chr21_13973200_13974647	36	23	9	5
chr21_14027434_14027676	10	6	26	1
chr21_14063987_14064699	3	0	134	24
chr21_14166284_14167159	3	0	80	40
chr21_14216164_14216413	2	0	28	10
chr21_14303654_14304265	4	1	113	9
chr21_14304458_14305036	0	1	84	10
chr21_14305351_14307562	4	7	325	47
chr21_14315960_14316445	2	1	56	11
chr21_14381282_14381485	10	5	3	2
chr21_14382168_14384785	436	199	238	60
chr21_14417312_14417482	6	0	1	1
chr21_14450702_14456326	519	469	69	39
chr21_14490597_14491054	10	12	8	1
chr21_14525322_14525877	5	11	5	1
chr21_14525940_14526584	22	20	3	2
chr21_14526769_14529432	105	120	23	12
chr21_14531559_14532494	30	34	13	8
chr21_14533527_14534178	51	5	35	4
chr21_14534228_14535887	75	35	40	10
chr21_14541758_14542490	26	31	5	3
