enhancer	S1_r1	S1_r2	S1_r3	S2_r1	S2_r2	S2_r3	S2_r4
chr21_5128185_5128529	12	2	4	21	5	42	10
chr21_5240507_5241144	29	20	40	15	1	30	2
chr21_5241953_5242568	33	29	58	11	2	22	4
chr21_5242733_5243984	160	68	136	12	7	24	14
chr21_5244027_5244554	52	29	58	13	4	26	8
chr21_5244634_5245418	59	19	38	13	1	26	2
chr21_5246067_5246864	59	18	36	5	4	10	8
chr21_6109723_6110258	0	0	0	74	4	148	8
chr21_6111347_6111705	0	0	0	31	2	62	4
chr21_6125424_6125791	1	0	0	35	7	70	14
chr21_6368812_6369148	26	14	28	90	16	180	32
chr21_8758574_8759005	18	5	10	2	1	4	2
chr21_8759056_8759835	78	19	38	22	0	44	0
chr21_8773238_8773549	19	7	14	3	1	6	2
chr21_9766842_9768489	217	43	86	30	10	60	20
chr21_9823409_9823767	21	6	12	9	3	18	6
chr21_9835889_9836095	7	3	6	0	0	0	0
chr21_9836676_9837290	34	6	12	3	1	6	2
chr21_9837370_9838012	20	5	10	5	0	10	0
chr21_9838760_9839095	14	4	8	8	2	16	4
chr21_9839154_9839319	7	2	4	7	0	14	0
chr21_10119622_10119934	10	3	6	1	0	2	0
chr21_10412818_10413318	18	8	16	77	30	154	60
chr21_10413364_10414687	255	80	160	338	52	676	104
chr21_13857982_13858350	0	0	0	36	8	72	16
chr21_13876254_13877026	3	1	2	96	9	192	18
chr21_13877258_13877766	3	1	2	49	5	98	10
chr21_13970153_13970611	4	0	0	40	15	80	30
chr21_13973200_13974647	36	23	46	9	5	18	10
chr21_14027434_14027676	10	6	12	26	1	52	2
chr21_14063987_14064699	3	0	0	134	24	268	48
chr21_14166284_14167159	3	0	0	80	40	160	80
chr21_14216164_14216413	2	0	0	28	10	56	20
chr21_14303654_14304265	4	1	2	113	9	226	18
chr21_14304458_14305036	0	1	2	84	10	168	20
chr21_14305351_14307562	4	7	14	325	47	650	94
chr21_14315960_14316445	2	1	2	56	11	112	22
chr21_14381282_14381485	10	5	10	3	2	6	4
chr21_14382168_14384785	436	199	398	238	60	476	120
chr21_14417312_14417482	6	0	0	1	1	2	2
chr21_14450702_14456326	519	469	938	69	39	138	78
chr21_14490597_14491054	10	12	24	8	1	16	2
chr21_14525322_14525877	5	11	22	5	1	10	2
chr21_14525940_14526584	22	20	40	3	2	6	4
chr21_14526769_14529432	105	120	240	23	12	46	24
chr21_14531559_14532494	30	34	68	13	8	26	16
chr21_14533527_14534178	51	5	10	35	4	70	8
chr21_14534228_14535887	75	35	70	40	10	80	20
chr21_14541758_14542490	26	31	62	5	3	10	6
chr21_14542528_14546661	86	189	378	46	14	92	28
chr21_14546968_14547348	7	13	26	5	2	10	4
chr21_14581083_14581336	13	7	14	0	1	0	2
chr21_14581878_14585791	257	316	632	62	23	124	46
chr21_14600420_14601396	28	19	38	11	2	22	4
chr21_14602937_14603332	7	8	16	7	1	14	2
chr21_14674539_14674847	1	7	14	3	1	6	2
chr21_14675240_14678757	280	250	500	29	22	58	44
chr21_14699404_14700105	8	4	8	127	30	254	60
chr21_14700338_14701064	6	3	6	125	23	250	46
chr21_14711518_14712124	0	1	2	98	12	196	24
chr21_14712413_14712955	0	1	2	89	13	178	26
chr21_14735763_14736773	17	27	54	13	8	26	16
chr21_14737131_14737833	35	31	62	13	6	26	12
chr21_14740603_14741364	5	4	8	64	40	128	80
chr21_14741464_14742082	5	3	6	33	32	66	64
chr21_14744487_14745377	36	17	34	8	4	16	8
chr21_14748447_14748999	17	17	34	10	4	20	8
chr21_14749206_14749559	1	13	26	4	0	8	0
chr21_14749603_14750540	52	46	92	14	8	28	16
chr21_14750604_14751557	61	49	98	14	9	28	18
chr21_14751738_14756723	463	471	942	48	13	96	26
chr21_14756791_14757336	0	16	32	8	4	16	8
chr21_14757516_14758773	63	33	66	11	7	22	14
chr21_14758835_14759225	15	14	28	5	2	10	4
chr21_14759266_14759670	4	8	16	9	2	18	4
chr21_14760059_14760566	8	12	24	4	3	8	6
chr21_14760734_14764325	254	303	606	91	30	182	60
chr21_14764472_14764911	14	12	24	2	1	4	2
chr21_14767661_14768020	2	5	10	30	2	60	4
chr21_14768237_14768676	6	2	4	48	2	96	4
chr21_14771210_14771680	9	10	20	49	19	98	38
chr21_14773473_14773781	3	7	14	6	1	12	2
chr21_14829522_14831334	4	3	6	292	113	584	226
chr21_14862080_14865280	21	15	30	1248	376	2496	752
chr21_14868792_14869485	2	1	2	64	10	128	20
chr21_14869642_14872238	9	2	4	949	173	1898	346
chr21_14874150_14875545	6	3	6	201	24	402	48
chr21_14875865_14880691	18	9	18	1419	290	2838	580
chr21_14911078_14912413	3	2	4	172	18	344	36
chr21_14913431_14914603	1	0	0	188	22	376	44
chr21_14915344_14918294	14	10	20	849	129	1698	258
